Time,Mois_beans,Mois_Maize,Mois_Onion,Mois_Rice,Temp_beans,Temp_Maize,Temp_Onion,Temp_Rice,Temp_Surr,Humid_beans,Humid_Maize,Humid_Onion,Humid_Surr,water_level
2023-08-07,78,84,82,69,18,17,18,18,18,92,92,93,89,1
2023-08-07,78,84,82,69,18,17,18,18,18,92,92,93,89,1
2023-08-07,78,83,82,69,18,17,18,18,18,92,92,93,88,1
2023-08-07,78,84,82,69,18,17,18,18,18,92,92,93,88,1
2023-08-07,78,83,82,69,18,17,18,18,18,92,92,92,88,1
2023-08-07,78,83,82,68,18,17,18,18,18,92,92,93,88,1
2023-08-07,78,83,82,68,18,17,18,18,18,92,92,93,88,1
2023-08-07,79,84,84,68,18,17,18,18,18,92,92,92,88,1
2023-08-07,79,84,83,68,18,17,18,18,18,92,92,93,88,1
2023-08-07,78,84,83,68,18,17,18,18,18,92,92,92,88,1
2023-08-07,78,84,83,68,18,17,18,18,18,92,92,92,88,1
2023-08-07,78,84,82,69,18,17,18,18,18,92,92,93,90,1
2023-08-07,78,84,82,68,18,17,18,18,18,92,92,93,90,1
2023-08-07,78,84,83,68,18,17,18,18,18,92,92,92,90,1
2023-08-07,78,84,82,68,18,17,18,18,18,92,92,92,91,1
2023-08-07,78,84,82,68,17,17,18,18,18,92,92,92,91,1
2023-08-07,78,84,82,68,17,17,18,18,18,92,92,92,90,1
2023-08-07,78,84,82,68,18,17,18,18,18,92,92,92,92,1
2023-08-07,74,84,82,68,18,17,18,18,18,92,92,92,92,1
2023-08-07,74,84,82,68,17,17,18,18,18,92,92,92,92,1
2023-08-08,74,84,82,68,18,17,18,18,18,92,92,93,92,1
2023-08-08,70,84,82,68,18,17,18,18,18,92,92,92,92,1
2023-08-08,70,84,82,68,18,17,18,18,18,92,92,92,92,1
2023-08-08,70,84,82,68,17,17,18,18,18,92,92,92,93,1
2023-08-08,70,84,82,68,17,17,18,18,18,92,92,92,93,1
2023-08-08,70,84,82,68,17,17,18,18,18,92,92,92,93,1
2023-08-08,69,83,82,68,17,17,18,18,18,92,92,92,93,1
2023-08-08,69,83,82,68,17,17,18,18,18,92,92,92,93,1
2023-08-08,69,83,82,68,17,17,18,18,18,92,92,92,93,1
2023-08-08,68,83,82,68,17,17,18,18,18,92,92,92,93,1
2023-08-08,68,83,82,68,17,17,18,18,18,92,92,92,93,1
2023-08-08,68,84,82,67,17,17,18,18,18,92,92,92,93,1
2023-08-08,68,84,82,68,17,17,18,18,18,92,92,92,93,4
2023-08-08,86,83,82,68,17,17,18,18,18,92,92,92,93,4
2023-08-08,68,83,82,67,17,17,18,18,18,92,92,92,93,4
2023-08-08,68,83,81,66,18,17,18,18,18,92,92,92,93,3
2023-08-08,68,83,81,66,18,17,18,18,18,92,92,92,93,3
2023-08-08,67,83,81,67,18,17,18,18,18,92,92,92,93,3
2023-08-08,66,83,81,66,18,17,18,18,18,92,92,93,93,2
2023-08-08,66,83,81,66,18,17,18,18,18,92,92,92,93,2
2023-08-08,66,83,81,66,18,17,18,18,18,92,92,92,93,1
